name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-01,7.0,0.0,3.2,5.7,-3.1,2.0,-2.0,70.8,1.628,100,8.33,"rain,snow",0,0,15.8,11.1,339.9,1018.8,57.8,35.8,109.6,9.6,5,,2015-01-01T07:31:07,2015-01-01T17:29:59,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-02,10.0,-0.3,4.3,9.4,-4.9,2.9,-4.2,56.9,0.0,0,0.0,,0,0,18.7,18.2,333.2,1017.6,4.1,32.2,150.6,13.0,6,,2015-01-02T07:31:19,2015-01-02T17:30:44,0.41,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-03,10.1,-0.9,4.8,10.1,-4.2,3.6,-2.9,60.0,0.0,0,0.0,,0,0,15.5,9.3,30.5,1022.9,2.5,42.0,149.0,12.8,6,,2015-01-03T07:31:28,2015-01-03T17:31:31,0.45,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-04,17.1,1.1,8.3,17.1,-4.6,7.5,-1.1,54.8,0.0,0,0.0,,0,0,17.3,25.7,2.9,1027.0,15.7,41.7,151.1,12.9,6,,2015-01-04T07:31:36,2015-01-04T17:32:18,0.5,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-05,23.0,5.7,13.1,23.0,3.3,12.7,-1.2,42.9,0.331,100,4.17,rain,0,0,20.2,23.9,8.8,1024.9,21.2,34.5,151.2,12.8,6,,2015-01-05T07:31:42,2015-01-05T17:33:06,0.52,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-06,24.1,6.9,14.6,24.1,4.8,14.3,-0.8,39.1,0.0,0,0.0,,0,0,21.6,22.0,9.5,1023.3,13.8,39.8,153.3,13.3,6,,2015-01-06T07:31:46,2015-01-06T17:33:56,0.55,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-07,26.7,9.4,17.5,26.4,9.4,17.5,1.2,35.9,0.0,0,0.0,,0,0,38.9,23.9,40.4,1019.9,46.2,41.2,152.4,13.3,6,,2015-01-07T07:31:49,2015-01-07T17:34:46,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-08,19.1,12.6,16.2,19.1,12.6,16.2,1.5,37.5,0.0,0,0.0,,0,0,38.2,27.5,46.8,1017.2,55.2,33.8,84.2,7.3,5,,2015-01-08T07:31:49,2015-01-08T17:35:37,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-09,22.1,9.7,14.9,22.1,9.7,14.9,3.4,47.4,0.0,0,0.0,,0,0,29.9,27.5,34.4,1016.0,19.4,37.8,137.3,11.8,5,,2015-01-09T07:31:48,2015-01-09T17:36:28,0.65,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2015-01-10,17.1,11.8,14.1,17.1,11.8,14.1,3.9,51.0,0.001,100,4.17,rain,0,0,24.8,14.4,88.1,1016.7,67.8,34.1,94.7,8.2,5,,2015-01-10T07:31:45,2015-01-10T17:37:21,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72278903192,KSDL,72278023183,KPHX,72278303185,KFFZ"
