name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-01,17.2,5.0,11.5,17.2,5.0,11.1,-7.2,27.3,0.0,0,0.0,,0,0,18.4,14.7,357.1,1015.8,3.9,15.7,127.4,11.0,5,,2021-01-01T07:31:14,2021-01-01T17:30:23,0.59,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ,MAUP"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-02,16.2,5.0,9.9,16.2,3.2,9.3,-6.0,33.3,0.0,0,0.0,,0,0,18.0,11.1,28.8,1022.3,0.1,16.0,114.8,10.0,5,,2021-01-02T07:31:25,2021-01-02T17:31:09,0.63,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,MAUP,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-03,16.7,3.8,10.3,16.7,2.6,9.5,-5.8,32.9,0.0,0,0.0,,0,0,17.3,12.9,23.6,1020.7,0.1,16.0,111.7,9.8,5,,2021-01-03T07:31:33,2021-01-03T17:31:56,0.67,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-04,20.6,4.4,12.1,20.6,4.4,11.7,-4.8,32.4,0.0,0,0.0,,0,0,16.9,14.7,2.7,1019.1,0.1,16.0,128.4,11.1,5,,2021-01-04T07:31:40,2021-01-04T17:32:44,0.7,Clear,Clear conditions throughout the day.,clear-day,"72278903192,MACP,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-05,20.7,6.7,13.0,20.7,5.4,12.8,-4.3,31.2,0.0,0,0.0,,0,0,20.9,13.0,337.6,1017.2,0.1,16.0,129.3,11.0,5,,2021-01-05T07:31:45,2021-01-05T17:33:33,0.74,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-06,20.7,7.8,13.9,20.7,7.4,13.7,-6.5,25.1,0.0,0,0.0,,0,0,22.7,12.9,27.5,1018.6,0.1,16.0,124.9,10.9,5,,2021-01-06T07:31:48,2021-01-06T17:34:22,0.75,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ,MAUP"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-07,21.2,6.7,13.0,21.2,6.6,12.8,-7.7,24.9,0.0,0,0.0,,0,0,16.6,14.7,32.0,1017.7,0.1,16.0,130.0,11.4,5,,2021-01-07T07:31:50,2021-01-07T17:35:13,0.81,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-08,19.4,6.7,12.8,19.4,5.9,12.6,-7.3,25.7,0.0,0,0.0,,0,0,16.9,12.9,20.5,1016.8,0.1,15.5,118.3,10.3,5,,2021-01-08T07:31:49,2021-01-08T17:36:04,0.84,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-09,19.4,5.0,11.4,19.4,3.3,11.1,-7.6,28.2,0.0,0,0.0,,0,0,33.5,22.3,294.7,1015.1,0.1,15.7,130.1,11.1,5,,2021-01-09T07:31:47,2021-01-09T17:36:57,0.88,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-10,18.8,7.2,12.4,18.8,5.8,11.8,-7.6,24.8,0.0,0,0.0,,0,0,20.9,18.3,16.0,1020.2,0.1,16.0,136.0,11.8,5,,2021-01-10T07:31:43,2021-01-10T17:37:50,0.91,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ,MAUP"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-11,18.4,8.4,12.7,18.4,6.5,12.3,-6.7,25.8,0.0,0,0.0,,0,0,35.3,25.3,39.1,1021.5,0.1,16.0,131.8,11.3,5,,2021-01-11T07:31:37,2021-01-11T17:38:43,0.95,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,MAUP,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-12,18.9,7.2,11.8,18.9,4.8,11.0,-11.0,20.1,0.0,0,0.0,,0,0,19.8,22.2,17.9,1023.8,0.1,16.0,135.2,11.7,6,,2021-01-12T07:31:29,2021-01-12T17:39:37,0.0,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-13,18.4,6.7,11.5,18.4,4.2,10.8,-11.5,19.6,0.0,0,0.0,,0,0,20.2,20.4,14.3,1022.6,0.1,16.0,134.1,11.6,5,,2021-01-13T07:31:20,2021-01-13T17:40:32,0.02,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ,MAUP"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-14,21.2,6.2,13.2,21.2,4.6,12.9,-8.3,22.7,0.0,0,0.0,,0,0,18.4,11.1,20.5,1020.0,0.1,16.0,131.7,11.4,5,,2021-01-14T07:31:08,2021-01-14T17:41:28,0.05,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,MAUP,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-15,26.1,13.8,18.3,26.1,13.8,18.3,-10.0,14.4,0.0,0,0.0,,0,0,20.9,18.3,28.7,1018.6,0.1,16.0,138.5,12.1,6,,2021-01-15T07:30:55,2021-01-15T17:42:23,0.08,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,MAUP,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-16,23.9,9.4,16.3,23.9,8.4,16.2,-10.4,15.8,0.0,0,0.0,,0,0,18.4,14.7,10.7,1014.9,0.1,16.0,135.5,11.8,6,,2021-01-16T07:30:40,2021-01-16T17:43:20,0.11,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,72278303185,KFFZ,MAUP"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-17,26.1,10.0,17.3,26.1,10.0,17.3,-10.3,15.7,0.0,0,0.0,,0,0,22.0,22.3,21.2,1015.2,0.1,16.0,140.3,12.2,6,,2021-01-17T07:30:23,2021-01-17T17:44:16,0.15,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-18,21.7,8.3,14.9,21.7,7.2,14.5,-11.3,16.3,0.0,0,0.0,,0,0,18.4,12.9,31.3,1009.1,4.3,16.0,136.3,11.9,6,,2021-01-18T07:30:05,2021-01-18T17:45:13,0.18,Clear,Clear conditions throughout the day.,clear-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-19,21.7,12.9,17.9,21.7,12.9,17.9,0.7,34.1,0.002,100,4.17,rain,0,0,53.6,29.5,56.2,1009.7,60.4,15.9,101.9,8.7,6,,2021-01-19T07:29:44,2021-01-19T17:46:11,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72278903192,KSDL,C6682,72278023183,KPHX,SRP10,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-20,22.8,15.0,18.6,22.8,15.0,18.6,0.5,30.0,0.0,0,0.0,,0,0,40.7,20.5,59.6,1015.9,29.4,16.0,136.8,11.9,6,,2021-01-20T07:29:22,2021-01-20T17:47:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-21,21.1,13.9,17.0,21.1,13.9,17.0,5.9,48.6,0.0,0,0.0,,0,0,22.0,14.7,127.7,1014.3,69.6,16.0,117.7,10.2,6,,2021-01-21T07:28:58,2021-01-21T17:48:06,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,KSDL,C6682,72278023183,KPHX,TT482,72278303185,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-22,19.4,13.3,15.8,19.4,13.3,15.8,8.1,61.0,0.0,0,0.0,,0,0,30.2,20.5,175.2,1013.2,77.4,16.0,119.1,10.2,5,,2021-01-22T07:28:32,2021-01-22T17:49:04,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,TT482,72278303185,SRP35,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-23,17.2,12.2,14.2,17.2,12.2,14.2,5.6,56.9,0.006,100,8.33,rain,0,0,29.5,20.5,176.2,1010.1,86.4,16.0,78.5,6.9,4,,2021-01-23T07:28:05,2021-01-23T17:50:03,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72278903192,MACP,KSDL,72278023183,KPHX,72278303185,SRP35,KFFZ"
"4800 E Falcon Dr, Mesa, AZ 85215, United States",2021-01-24,12.2,7.2,10.1,12.2,3.8,9.5,4.9,70.7,7.933,100,58.33,rain,0,0,34.2,20.5,147.3,1009.2,77.0,15.8,73.9,6.5,4,,2021-01-24T07:27:36,2021-01-24T17:51:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72278903192,KSDL,72278023183,KPHX,SRP10,72278303185,KFFZ,SRP36"
