Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Apache Lake (Horse Mesa Dam),94,"1,907.90","229,221",6.10,"15,917",-51,0.00,2019-11-08,79,56 ,52,18
Canyon Lake (Mormon Flat Dam),92,"1,655.43","53,108",5.07,"4,744",19,0.00,2019-11-08,79,56 ,52,18
Saguaro Lake (Stewart Mountain Dam),94,"1,525.86","65,861",3.14,"3,904",-25,0.00,2019-11-08,79,56 ,52,18
Total Salt system,70,,"1,408,214",,"596,073",100,,2019-11-08,79,56 ,52,18
Horseshoe Lake (Horseshoe Dam),10,"1,973.28","11,272",52.72,"97,945",30,0.00,2019-11-08,79,56 ,52,18
Bartlett Lake (Bartlett Dam),57,"1,764.87","100,790",33.13,"77,396","-1,701",0.00,2019-11-08,79,56 ,52,18
Total Verde system,39,,"112,062",,"175,341","-1,671",,2019-11-08,79,56 ,52,18
Total Reservoir System,66,,"1,520,276",,"771,414","-1,571",,2019-11-08,79,56 ,52,18
Total system year ago,47,,,,,,,2019-11-08,79,56 ,52,18
Roosevelt Lake (Roosevelt Dam),65,"2,120.36","1,060,181",30.64,"571,351",157,0.00,2019-11-09,79,55 ,45,16
Apache Lake (Horse Mesa Dam),94,"1,907.92","229,272",6.08,"15,866",51,0.00,2019-11-09,79,55 ,45,16
Canyon Lake (Mormon Flat Dam),92,"1,655.40","53,080",5.10,"4,772",-28,0.00,2019-11-09,79,55 ,45,16
Saguaro Lake (Stewart Mountain Dam),94,"1,525.83","65,825",3.17,"3,940",-36,0.00,2019-11-09,79,55 ,45,16
Total Salt system,70,,"1,408,358",,"595,929",144,,2019-11-09,79,55 ,45,16
Horseshoe Lake (Horseshoe Dam),10,"1,973.30","11,292",52.70,"97,925",20,0.00,2019-11-09,79,55 ,45,16
Bartlett Lake (Bartlett Dam),56,"1,763.96","99,069",34.04,"79,117","-1,721",0.00,2019-11-09,79,55 ,45,16
Total Verde system,38,,"110,361",,"177,042","-1,701",,2019-11-09,79,55 ,45,16
Total Reservoir System,66,,"1,518,719",,"772,971","-1,557",,2019-11-09,79,55 ,45,16
Total system year ago,47,,,,,,,2019-11-09,79,55 ,45,16
Roosevelt Lake (Roosevelt Dam),65,"2,120.36","1,060,181",30.64,"571,351",0,0.00,2019-11-10,78,55 ,44,21
Apache Lake (Horse Mesa Dam),94,"1,907.90","229,213",6.10,"15,925",-59,0.00,2019-11-10,78,55 ,44,21
Canyon Lake (Mormon Flat Dam),92,"1,655.38","53,062",5.12,"4,790",-18,0.00,2019-11-10,78,55 ,44,21
Saguaro Lake (Stewart Mountain Dam),94,"1,525.80","65,788",3.20,"3,977",-37,0.00,2019-11-10,78,55 ,44,21
Total Salt system,70,,"1,408,244",,"596,043",-114,,2019-11-10,78,55 ,44,21
Horseshoe Lake (Horseshoe Dam),10,"1,973.34","11,332",52.66,"97,885",40,0.00,2019-11-10,78,55 ,44,21
Bartlett Lake (Bartlett Dam),55,"1,763.16","97,572",34.84,"80,614","-1,497",0.00,2019-11-10,78,55 ,44,21
Total Verde system,38,,"108,904",,"178,499","-1,457",,2019-11-10,78,55 ,44,21
Total Reservoir System,66,,"1,517,148",,"774,542","-1,571",,2019-11-10,78,55 ,44,21
Total system year ago,47,,,,,,,2019-11-10,78,55 ,44,21
