Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Roosevelt Lake (Roosevelt Dam),42,"2,093.87","687,025",57.13,"966,018",-292,0.00,2013-01-01,66,44 ,89,28
Apache Lake (Horse Mesa Dam),93,"1,907.07","227,100",6.93,"18,038",-563,0.00,2013-01-01,66,44 ,89,28
Canyon Lake (Mormon Flat Dam),96,"1,658.14","55,626",2.36,"2,226",-816,0.00,2013-01-01,66,44 ,89,28
Saguaro Lake (Stewart Mountain Dam),94,"1,525.46","65,376",3.54,"4,389","1,319",0.00,2013-01-01,66,44 ,89,28
Total Salt system,51,,"1,035,127",,"990,671",-352,,2013-01-01,66,44 ,89,28
Horseshoe Lake (Horseshoe Dam),0,"1,952.01",141,73.99,"109,076",-87,0.00,2013-01-01,66,44 ,89,28
Bartlett Lake (Bartlett Dam),57,"1,765.26","101,536",32.74,"76,650",479,0.00,2013-01-01,66,44 ,89,28
Total Verde system,35,,"101,677",,"185,726",392,,2013-01-01,66,44 ,89,28
Total Reservoir System,49,,"1,136,804",,"1,176,397",40,,2013-01-01,66,44 ,89,28
Total system year ago,66,,,,,,,2013-01-01,66,44 ,89,28
Roosevelt Lake (Roosevelt Dam),42,"2,093.90","687,349",57.10,"965,694",324,0.00,2013-01-02,66,45 ,82,28
Apache Lake (Horse Mesa Dam),92,"1,906.87","226,591",7.13,"18,547",-509,0.00,2013-01-02,66,45 ,82,28
Canyon Lake (Mormon Flat Dam),96,"1,658.18","55,664",2.32,"2,188",38,0.00,2013-01-02,66,45 ,82,28
Saguaro Lake (Stewart Mountain Dam),94,"1,525.66","65,619",3.34,"4,146",243,0.00,2013-01-02,66,45 ,82,28
Total Salt system,51,,"1,035,223",,"990,575",96,,2013-01-02,66,45 ,82,28
Horseshoe Lake (Horseshoe Dam),0,"1,952.21",165,73.79,"109,052",24,0.00,2013-01-02,66,45 ,82,28
Bartlett Lake (Bartlett Dam),57,"1,765.31","101,631",32.69,"76,555",95,0.00,2013-01-02,66,45 ,82,28
Total Verde system,35,,"101,796",,"185,607",119,,2013-01-02,66,45 ,82,28
Total Reservoir System,49,,"1,137,019",,"1,176,182",215,,2013-01-02,66,45 ,82,28
Total system year ago,66,,,,,,,2013-01-02,66,45 ,82,28
Roosevelt Lake (Roosevelt Dam),42,"2,093.89","687,293",57.11,"965,750",-56,0.00,2013-01-03,66,45 ,59,15
Apache Lake (Horse Mesa Dam),92,"1,906.77","226,337",7.23,"18,801",-254,0.00,2013-01-03,66,45 ,59,15
Canyon Lake (Mormon Flat Dam),97,"1,658.40","55,870",2.10,"1,982",206,0.00,2013-01-03,66,45 ,59,15
Saguaro Lake (Stewart Mountain Dam),94,"1,525.48","65,400",3.52,"4,365",-219,0.00,2013-01-03,66,45 ,59,15
Total Salt system,51,,"1,034,900",,"990,898",-323,,2013-01-03,66,45 ,59,15
Horseshoe Lake (Horseshoe Dam),0,"1,952.27",172,73.73,"109,045",7,0.00,2013-01-03,66,45 ,59,15
Bartlett Lake (Bartlett Dam),57,"1,765.40","101,804",32.60,"76,382",173,0.00,2013-01-03,66,45 ,59,15
Total Verde system,35,,"101,976",,"185,427",180,,2013-01-03,66,45 ,59,15
Total Reservoir System,49,,"1,136,876",,"1,176,325",-143,,2013-01-03,66,45 ,59,15
Total system year ago,66,,,,,,,2013-01-03,66,45 ,59,15
Roosevelt Lake (Roosevelt Dam),42,"2,093.84","686,693",57.16,"966,350",-600,0.00,2013-01-04,66,45 ,43,16
Apache Lake (Horse Mesa Dam),92,"1,906.63","225,981",7.37,"19,157",-356,0.00,2013-01-04,66,45 ,43,16
Canyon Lake (Mormon Flat Dam),95,"1,657.63","55,150",2.87,"2,702",-720,0.00,2013-01-04,66,45 ,43,16
Saguaro Lake (Stewart Mountain Dam),95,"1,526.33","66,439",2.67,"3,326","1,039",0.00,2013-01-04,66,45 ,43,16
Total Salt system,51,,"1,034,263",,"991,535",-637,,2013-01-04,66,45 ,43,16
Horseshoe Lake (Horseshoe Dam),0,"1,952.32",178,73.68,"109,039",6,0.00,2013-01-04,66,45 ,43,16
Bartlett Lake (Bartlett Dam),57,"1,765.55","102,091",32.45,"76,095",287,0.00,2013-01-04,66,45 ,43,16
Total Verde system,36,,"102,269",,"185,134",293,,2013-01-04,66,45 ,43,16
Total Reservoir System,49,,"1,136,532",,"1,176,669",-344,,2013-01-04,66,45 ,43,16
Total system year ago,66,,,,,,,2013-01-04,66,45 ,43,16
Roosevelt Lake (Roosevelt Dam),42,"2,093.85","686,805",57.15,"966,238",112,0.00,2013-01-05,66,45 ,45,20
Apache Lake (Horse Mesa Dam),92,"1,906.71","226,184",7.29,"18,954",203,0.00,2013-01-05,66,45 ,45,20
Canyon Lake (Mormon Flat Dam),96,"1,658.32","55,795",2.18,"2,057",645,0.00,2013-01-05,66,45 ,45,20
Saguaro Lake (Stewart Mountain Dam),95,"1,525.97","65,996",3.03,"3,769",-443,0.00,2013-01-05,66,45 ,45,20
Total Salt system,51,,"1,034,780",,"991,018",517,,2013-01-05,66,45 ,45,20
Horseshoe Lake (Horseshoe Dam),0,"1,952.19",163,73.81,"109,054",-15,0.00,2013-01-05,66,45 ,45,20
Bartlett Lake (Bartlett Dam),57,"1,765.74","102,455",32.26,"75,731",364,0.00,2013-01-05,66,45 ,45,20
Total Verde system,36,,"102,618",,"184,785",349,,2013-01-05,66,45 ,45,20
Total Reservoir System,49,,"1,137,398",,"1,175,803",866,,2013-01-05,66,45 ,45,20
Total system year ago,66,,,,,,,2013-01-05,66,45 ,45,20
Roosevelt Lake (Roosevelt Dam),41,"2,093.73","685,279",57.27,"967,764","-1,526",0.00,2013-01-06,66,45 ,59,19
Apache Lake (Horse Mesa Dam),93,"1,907.04","227,023",6.96,"18,115",839,0.00,2013-01-06,66,45 ,59,19
Canyon Lake (Mormon Flat Dam),97,"1,658.54","56,002",1.96,"1,850",207,0.00,2013-01-06,66,45 ,59,19
Saguaro Lake (Stewart Mountain Dam),94,"1,525.90","65,911",3.10,"3,854",-85,0.00,2013-01-06,66,45 ,59,19
Total Salt system,51,,"1,034,215",,"991,583",-565,,2013-01-06,66,45 ,59,19
Horseshoe Lake (Horseshoe Dam),0,"1,952.17",161,73.83,"109,056",-2,0.00,2013-01-06,66,45 ,59,19
Bartlett Lake (Bartlett Dam),58,"1,765.90","102,762",32.10,"75,424",307,0.00,2013-01-06,66,45 ,59,19
Total Verde system,36,,"102,923",,"184,480",305,,2013-01-06,66,45 ,59,19
Total Reservoir System,49,,"1,137,138",,"1,176,063",-260,,2013-01-06,66,45 ,59,19
Total system year ago,66,,,,,,,2013-01-06,66,45 ,59,19
Roosevelt Lake (Roosevelt Dam),41,"2,093.71","685,003",57.29,"968,040",-276,0.00,2013-01-07,66,45 ,53,16
Apache Lake (Horse Mesa Dam),93,"1,907.20","227,432",6.80,"17,706",409,0.00,2013-01-07,66,45 ,53,16
Canyon Lake (Mormon Flat Dam),95,"1,657.63","55,150",2.87,"2,702",-852,0.00,2013-01-07,66,45 ,53,16
Saguaro Lake (Stewart Mountain Dam),95,"1,526.46","66,599",2.54,"3,166",688,0.00,2013-01-07,66,45 ,53,16
Total Salt system,51,,"1,034,184",,"991,614",-31,,2013-01-07,66,45 ,53,16
Horseshoe Lake (Horseshoe Dam),0,"1,952.16",159,73.84,"109,058",-2,0.00,2013-01-07,66,45 ,53,16
Bartlett Lake (Bartlett Dam),58,"1,766.05","103,050",31.95,"75,136",288,0.00,2013-01-07,66,45 ,53,16
Total Verde system,36,,"103,209",,"184,194",286,,2013-01-07,66,45 ,53,16
Total Reservoir System,49,,"1,137,393",,"1,175,808",255,,2013-01-07,66,45 ,53,16
Total system year ago,66,,,,,,,2013-01-07,66,45 ,53,16
Roosevelt Lake (Roosevelt Dam),41,"2,093.67","684,430",57.33,"968,613",-573,0.00,2013-01-08,66,45 ,55,26
Apache Lake (Horse Mesa Dam),93,"1,907.35","227,816",6.65,"17,322",384,0.00,2013-01-08,66,45 ,55,26
Canyon Lake (Mormon Flat Dam),95,"1,657.42","54,954",3.08,"2,898",-196,0.00,2013-01-08,66,45 ,55,26
Saguaro Lake (Stewart Mountain Dam),96,"1,526.68","66,870",2.32,"2,895",271,0.00,2013-01-08,66,45 ,55,26
Total Salt system,51,,"1,034,070",,"991,728",-114,,2013-01-08,66,45 ,55,26
Horseshoe Lake (Horseshoe Dam),0,"1,952.20",164,73.80,"109,053",5,0.00,2013-01-08,66,45 ,55,26
Bartlett Lake (Bartlett Dam),58,"1,766.22","103,380",31.78,"74,806",330,0.00,2013-01-08,66,45 ,55,26
Total Verde system,36,,"103,544",,"183,859",335,,2013-01-08,66,45 ,55,26
Total Reservoir System,49,,"1,137,614",,"1,175,587",221,,2013-01-08,66,45 ,55,26
Total system year ago,66,,,,,,,2013-01-08,66,45 ,55,26
Roosevelt Lake (Roosevelt Dam),41,"2,093.73","685,189",57.27,"967,854",759,0.00,2013-01-09,66,45 ,64,14
Apache Lake (Horse Mesa Dam),93,"1,907.33","227,765",6.67,"17,373",-51,0.00,2013-01-09,66,45 ,64,14
Canyon Lake (Mormon Flat Dam),96,"1,658.08","55,570",2.42,"2,282",616,0.00,2013-01-09,66,45 ,64,14
Saguaro Lake (Stewart Mountain Dam),95,"1,526.19","66,267",2.81,"3,498",-603,0.00,2013-01-09,66,45 ,64,14
Total Salt system,51,,"1,034,791",,"991,007",721,,2013-01-09,66,45 ,64,14
Horseshoe Lake (Horseshoe Dam),0,"1,952.20",164,73.80,"109,053",0,0.00,2013-01-09,66,45 ,64,14
Bartlett Lake (Bartlett Dam),58,"1,766.40","103,730",31.60,"74,456",350,0.00,2013-01-09,66,45 ,64,14
Total Verde system,36,,"103,894",,"183,509",350,,2013-01-09,66,45 ,64,14
Total Reservoir System,49,,"1,138,685",,"1,174,516","1,071",,2013-01-09,66,45 ,64,14
Total system year ago,66,,,,,,,2013-01-09,66,45 ,64,14
Roosevelt Lake (Roosevelt Dam),41,"2,093.72","685,120",57.28,"967,923",-69,0.00,2013-01-10,67,45 ,53,15
Apache Lake (Horse Mesa Dam),93,"1,907.29","227,663",6.71,"17,475",-102,0.00,2013-01-10,67,45 ,53,15
Canyon Lake (Mormon Flat Dam),96,"1,658.10","55,589",2.40,"2,263",19,0.00,2013-01-10,67,45 ,53,15
Saguaro Lake (Stewart Mountain Dam),95,"1,526.04","66,082",2.96,"3,683",-185,0.00,2013-01-10,67,45 ,53,15
Total Salt system,51,,"1,034,454",,"991,344",-337,,2013-01-10,67,45 ,53,15
Horseshoe Lake (Horseshoe Dam),0,"1,952.15",158,73.85,"109,059",-6,0.00,2013-01-10,67,45 ,53,15
Bartlett Lake (Bartlett Dam),58,"1,766.57","104,059",31.43,"74,127",329,0.00,2013-01-10,67,45 ,53,15
Total Verde system,36,,"104,217",,"183,186",323,,2013-01-10,67,45 ,53,15
Total Reservoir System,49,,"1,138,671",,"1,174,530",-14,,2013-01-10,67,45 ,53,15
Total system year ago,66,,,,,,,2013-01-10,67,45 ,53,15
Roosevelt Lake (Roosevelt Dam),41,"2,093.69","684,732",57.31,"968,311",-388,0.08,2013-01-11,67,45 ,66,25
Apache Lake (Horse Mesa Dam),93,"1,907.19","227,407",6.81,"17,731",-256,0.04,2013-01-11,67,45 ,66,25
Canyon Lake (Mormon Flat Dam),96,"1,658.05","55,542",2.45,"2,310",-47,0.02,2013-01-11,67,45 ,66,25
Saguaro Lake (Stewart Mountain Dam),95,"1,526.16","66,230",2.84,"3,535",148,0.01,2013-01-11,67,45 ,66,25
Total Salt system,51,,"1,033,911",,"991,887",-543,,2013-01-11,67,45 ,66,25
Horseshoe Lake (Horseshoe Dam),0,"1,952.19",163,73.81,"109,054",5,0.00,2013-01-11,67,45 ,66,25
Bartlett Lake (Bartlett Dam),59,"1,766.73","104,370",31.27,"73,816",311,0.00,2013-01-11,67,45 ,66,25
Total Verde system,36,,"104,533",,"182,870",316,,2013-01-11,67,45 ,66,25
Total Reservoir System,49,,"1,138,444",,"1,174,757",-227,,2013-01-11,67,45 ,66,25
Total system year ago,66,,,,,,,2013-01-11,67,45 ,66,25
Roosevelt Lake (Roosevelt Dam),41,"2,093.75","685,509",57.25,"967,534",777,0.00,2013-01-12,67,45 ,43,15
Apache Lake (Horse Mesa Dam),93,"1,907.11","227,202",6.89,"17,936",-205,0.00,2013-01-12,67,45 ,43,15
Canyon Lake (Mormon Flat Dam),97,"1,658.45","55,917",2.05,"1,935",375,0.00,2013-01-12,67,45 ,43,15
Saguaro Lake (Stewart Mountain Dam),94,"1,525.70","65,668",3.30,"4,097",-562,0.00,2013-01-12,67,45 ,43,15
Total Salt system,51,,"1,034,296",,"991,502",385,,2013-01-12,67,45 ,43,15
Horseshoe Lake (Horseshoe Dam),0,"1,952.26",171,73.74,"109,046",8,0.00,2013-01-12,67,45 ,43,15
Bartlett Lake (Bartlett Dam),59,"1,766.84","104,583",31.16,"73,603",213,0.00,2013-01-12,67,45 ,43,15
Total Verde system,36,,"104,754",,"182,649",221,,2013-01-12,67,45 ,43,15
Total Reservoir System,49,,"1,139,050",,"1,174,151",606,,2013-01-12,67,45 ,43,15
Total system year ago,66,,,,,,,2013-01-12,67,45 ,43,15
Roosevelt Lake (Roosevelt Dam),41,"2,093.79","685,937",57.21,"967,106",428,0.00,2013-01-13,67,45 ,56,16
Apache Lake (Horse Mesa Dam),93,"1,907.02","226,972",6.98,"18,166",-230,0.00,2013-01-13,67,45 ,56,16
Canyon Lake (Mormon Flat Dam),95,"1,657.39","54,926",3.11,"2,926",-991,0.00,2013-01-13,67,45 ,56,16
Saguaro Lake (Stewart Mountain Dam),95,"1,526.36","66,476",2.64,"3,289",808,0.00,2013-01-13,67,45 ,56,16
Total Salt system,51,,"1,034,311",,"991,487",15,,2013-01-13,67,45 ,56,16
Horseshoe Lake (Horseshoe Dam),0,"1,952.29",175,73.71,"109,042",4,0.00,2013-01-13,67,45 ,56,16
Bartlett Lake (Bartlett Dam),59,"1,766.99","104,874",31.01,"73,312",291,0.00,2013-01-13,67,45 ,56,16
Total Verde system,37,,"105,049",,"182,354",295,,2013-01-13,67,45 ,56,16
Total Reservoir System,49,,"1,139,360",,"1,173,841",310,,2013-01-13,67,45 ,56,16
Total system year ago,66,,,,,,,2013-01-13,67,45 ,56,16
Roosevelt Lake (Roosevelt Dam),42,"2,093.80","686,137",57.20,"966,906",200,0.00,2013-01-14,67,45 ,53,13
Apache Lake (Horse Mesa Dam),92,"1,906.80","226,413",7.20,"18,725",-559,0.00,2013-01-14,67,45 ,53,13
Canyon Lake (Mormon Flat Dam),95,"1,657.67","55,187",2.83,"2,665",261,0.00,2013-01-14,67,45 ,53,13
Saguaro Lake (Stewart Mountain Dam),95,"1,526.25","66,341",2.75,"3,424",-135,0.00,2013-01-14,67,45 ,53,13
Total Salt system,51,,"1,034,078",,"991,720",-233,,2013-01-14,67,45 ,53,13
Horseshoe Lake (Horseshoe Dam),0,"1,952.19",163,73.81,"109,054",-12,0.00,2013-01-14,67,45 ,53,13
Bartlett Lake (Bartlett Dam),59,"1,767.11","105,109",30.89,"73,077",235,0.00,2013-01-14,67,45 ,53,13
Total Verde system,37,,"105,272",,"182,131",223,,2013-01-14,67,45 ,53,13
Total Reservoir System,49,,"1,139,350",,"1,173,851",-10,,2013-01-14,67,45 ,53,13
Total system year ago,66,,,,,,,2013-01-14,67,45 ,53,13
Roosevelt Lake (Roosevelt Dam),41,"2,093.79","685,991",57.21,"967,052",-146,0.00,2013-01-15,67,46 ,43,18
Apache Lake (Horse Mesa Dam),92,"1,906.76","226,311",7.24,"18,827",-102,0.00,2013-01-15,67,46 ,43,18
Canyon Lake (Mormon Flat Dam),96,"1,657.80","55,308",2.70,"2,544",121,0.00,2013-01-15,67,46 ,43,18
Saguaro Lake (Stewart Mountain Dam),95,"1,526.02","66,058",2.98,"3,707",-283,0.00,2013-01-15,67,46 ,43,18
Total Salt system,51,,"1,033,668",,"992,130",-410,,2013-01-15,67,46 ,43,18
Horseshoe Lake (Horseshoe Dam),0,"1,952.33",179,73.67,"109,038",16,0.00,2013-01-15,67,46 ,43,18
Bartlett Lake (Bartlett Dam),59,"1,767.30","105,482",30.70,"72,704",373,0.00,2013-01-15,67,46 ,43,18
Total Verde system,37,,"105,661",,"181,742",389,,2013-01-15,67,46 ,43,18
Total Reservoir System,49,,"1,139,329",,"1,173,872",-21,,2013-01-15,67,46 ,43,18
Total system year ago,66,,,,,,,2013-01-15,67,46 ,43,18
Roosevelt Lake (Roosevelt Dam),41,"2,093.76","685,670",57.24,"967,373",-321,0.00,2013-01-16,67,46 ,46,10
Apache Lake (Horse Mesa Dam),92,"1,906.55","225,778",7.45,"19,360",-533,0.00,2013-01-16,67,46 ,46,10
Canyon Lake (Mormon Flat Dam),96,"1,658.05","55,542",2.45,"2,310",234,0.00,2013-01-16,67,46 ,46,10
Saguaro Lake (Stewart Mountain Dam),95,"1,526.11","66,168",2.89,"3,597",110,0.00,2013-01-16,67,46 ,46,10
Total Salt system,51,,"1,033,158",,"992,640",-510,,2013-01-16,67,46 ,46,10
Horseshoe Lake (Horseshoe Dam),0,"1,952.36",183,73.64,"109,034",4,0.00,2013-01-16,67,46 ,46,10
Bartlett Lake (Bartlett Dam),59,"1,767.43","105,737",30.57,"72,449",255,0.00,2013-01-16,67,46 ,46,10
Total Verde system,37,,"105,920",,"181,483",259,,2013-01-16,67,46 ,46,10
Total Reservoir System,49,,"1,139,078",,"1,174,123",-251,,2013-01-16,67,46 ,46,10
Total system year ago,66,,,,,,,2013-01-16,67,46 ,46,10
Roosevelt Lake (Roosevelt Dam),41,"2,093.69","684,720",57.31,"968,323",-950,0.00,2013-01-17,67,46 ,35,15
Apache Lake (Horse Mesa Dam),92,"1,906.85","226,539",7.15,"18,599",761,0.00,2013-01-17,67,46 ,35,15
Canyon Lake (Mormon Flat Dam),96,"1,658.06","55,551",2.44,"2,301",9,0.00,2013-01-17,67,46 ,35,15
Saguaro Lake (Stewart Mountain Dam),95,"1,525.95","65,972",3.05,"3,793",-196,0.00,2013-01-17,67,46 ,35,15
Total Salt system,51,,"1,032,782",,"993,016",-376,,2013-01-17,67,46 ,35,15
Horseshoe Lake (Horseshoe Dam),0,"1,952.32",178,73.68,"109,039",-5,0.00,2013-01-17,67,46 ,35,15
Bartlett Lake (Bartlett Dam),59,"1,767.55","105,973",30.45,"72,213",236,0.00,2013-01-17,67,46 ,35,15
Total Verde system,37,,"106,151",,"181,252",231,,2013-01-17,67,46 ,35,15
Total Reservoir System,49,,"1,138,933",,"1,174,268",-145,,2013-01-17,67,46 ,35,15
Total system year ago,66,,,,,,,2013-01-17,67,46 ,35,15
Roosevelt Lake (Roosevelt Dam),41,"2,093.69","684,720",57.31,"968,323",0,0.00,2013-01-18,68,46 ,52,12
Apache Lake (Horse Mesa Dam),92,"1,906.66","226,057",7.34,"19,081",-482,0.00,2013-01-18,68,46 ,52,12
Canyon Lake (Mormon Flat Dam),96,"1,658.29","55,767",2.21,"2,085",216,0.00,2013-01-18,68,46 ,52,12
Saguaro Lake (Stewart Mountain Dam),95,"1,526.07","66,119",2.93,"3,646",147,0.00,2013-01-18,68,46 ,52,12
Total Salt system,51,,"1,032,663",,"993,135",-119,,2013-01-18,68,46 ,52,12
Horseshoe Lake (Horseshoe Dam),0,"1,952.32",178,73.68,"109,039",0,0.00,2013-01-18,68,46 ,52,12
Bartlett Lake (Bartlett Dam),60,"1,767.67","106,208",30.33,"71,978",235,0.00,2013-01-18,68,46 ,52,12
Total Verde system,37,,"106,386",,"181,017",235,,2013-01-18,68,46 ,52,12
Total Reservoir System,49,,"1,139,049",,"1,174,152",116,,2013-01-18,68,46 ,52,12
Total system year ago,66,,,,,,,2013-01-18,68,46 ,52,12
Roosevelt Lake (Roosevelt Dam),41,"2,093.68","684,620",57.32,"968,423",-100,0.00,2013-01-19,68,46 ,38,13
Apache Lake (Horse Mesa Dam),92,"1,906.64","226,006",7.36,"19,132",-51,0.00,2013-01-19,68,46 ,38,13
Canyon Lake (Mormon Flat Dam),96,"1,657.88","55,383",2.62,"2,469",-384,0.00,2013-01-19,68,46 ,38,13
Saguaro Lake (Stewart Mountain Dam),95,"1,526.16","66,229",2.84,"3,536",110,0.00,2013-01-19,68,46 ,38,13
Total Salt system,51,,"1,032,238",,"993,560",-425,,2013-01-19,68,46 ,38,13
Horseshoe Lake (Horseshoe Dam),0,"1,952.29",174,73.71,"109,043",-4,0.00,2013-01-19,68,46 ,38,13
Bartlett Lake (Bartlett Dam),60,"1,767.81","106,483",30.19,"71,703",275,0.00,2013-01-19,68,46 ,38,13
Total Verde system,37,,"106,657",,"180,746",271,,2013-01-19,68,46 ,38,13
Total Reservoir System,49,,"1,138,895",,"1,174,306",-154,,2013-01-19,68,46 ,38,13
Total system year ago,66,,,,,,,2013-01-19,68,46 ,38,13
Roosevelt Lake (Roosevelt Dam),41,"2,093.75","685,503",57.25,"967,540",883,0.00,2013-01-20,68,46 ,49,13
Apache Lake (Horse Mesa Dam),92,"1,906.63","225,981",7.37,"19,157",-25,0.00,2013-01-20,68,46 ,49,13
Canyon Lake (Mormon Flat Dam),96,"1,657.89","55,392",2.61,"2,460",9,0.00,2013-01-20,68,46 ,49,13
Saguaro Lake (Stewart Mountain Dam),95,"1,526.00","66,033",3.00,"3,732",-196,0.00,2013-01-20,68,46 ,49,13
Total Salt system,51,,"1,032,909",,"992,889",671,,2013-01-20,68,46 ,49,13
Horseshoe Lake (Horseshoe Dam),0,"1,952.21",165,73.79,"109,052",-9,0.00,2013-01-20,68,46 ,49,13
Bartlett Lake (Bartlett Dam),60,"1,767.96","106,777",30.04,"71,409",294,0.00,2013-01-20,68,46 ,49,13
Total Verde system,37,,"106,942",,"180,461",285,,2013-01-20,68,46 ,49,13
Total Reservoir System,49,,"1,139,851",,"1,173,350",956,,2013-01-20,68,46 ,49,13
Total system year ago,66,,,,,,,2013-01-20,68,46 ,49,13
Roosevelt Lake (Roosevelt Dam),41,"2,093.76","685,571",57.24,"967,472",68,0.00,2013-01-21,68,46 ,45,11
Apache Lake (Horse Mesa Dam),92,"1,906.59","225,879",7.41,"19,259",-102,0.00,2013-01-21,68,46 ,45,11
Canyon Lake (Mormon Flat Dam),96,"1,657.87","55,373",2.63,"2,479",-19,0.00,2013-01-21,68,46 ,45,11
Saguaro Lake (Stewart Mountain Dam),94,"1,525.87","65,874",3.13,"3,891",-159,0.00,2013-01-21,68,46 ,45,11
Total Salt system,51,,"1,032,697",,"993,101",-212,,2013-01-21,68,46 ,45,11
Horseshoe Lake (Horseshoe Dam),0,"1,952.15",157,73.85,"109,060",-8,0.00,2013-01-21,68,46 ,45,11
Bartlett Lake (Bartlett Dam),60,"1,768.11","107,074",29.89,"71,112",297,0.00,2013-01-21,68,46 ,45,11
Total Verde system,37,,"107,231",,"180,172",289,,2013-01-21,68,46 ,45,11
Total Reservoir System,49,,"1,139,928",,"1,173,273",77,,2013-01-21,68,46 ,45,11
Total system year ago,66,,,,,,,2013-01-21,68,46 ,45,11
Roosevelt Lake (Roosevelt Dam),41,"2,093.78","685,823",57.22,"967,220",252,0.00,2013-01-22,68,46 ,39,10
Apache Lake (Horse Mesa Dam),92,"1,906.58","225,854",7.42,"19,284",-25,0.00,2013-01-22,68,46 ,39,10
Canyon Lake (Mormon Flat Dam),96,"1,657.81","55,318",2.69,"2,534",-55,0.00,2013-01-22,68,46 ,39,10
Saguaro Lake (Stewart Mountain Dam),94,"1,525.73","65,704",3.27,"4,061",-170,0.00,2013-01-22,68,46 ,39,10
Total Salt system,51,,"1,032,699",,"993,099",2,,2013-01-22,68,46 ,39,10
Horseshoe Lake (Horseshoe Dam),0,"1,952.19",162,73.81,"109,055",5,0.00,2013-01-22,68,46 ,39,10
Bartlett Lake (Bartlett Dam),60,"1,768.22","107,292",29.78,"70,894",218,0.00,2013-01-22,68,46 ,39,10
Total Verde system,37,,"107,454",,"179,949",223,,2013-01-22,68,46 ,39,10
Total Reservoir System,49,,"1,140,153",,"1,173,048",225,,2013-01-22,68,46 ,39,10
Total system year ago,66,,,,,,,2013-01-22,68,46 ,39,10
Roosevelt Lake (Roosevelt Dam),41,"2,093.76","685,559",57.24,"967,484",-264,0.00,2013-01-23,68,46 ,32,9
Apache Lake (Horse Mesa Dam),92,"1,906.44","225,498",7.56,"19,640",-356,0.00,2013-01-23,68,46 ,32,9
Canyon Lake (Mormon Flat Dam),96,"1,658.05","55,542",2.45,"2,310",224,0.00,2013-01-23,68,46 ,32,9
Saguaro Lake (Stewart Mountain Dam),94,"1,525.72","65,692",3.28,"4,073",-12,0.00,2013-01-23,68,46 ,32,9
Total Salt system,51,,"1,032,291",,"993,507",-408,,2013-01-23,68,46 ,32,9
Horseshoe Lake (Horseshoe Dam),0,"1,952.17",160,73.83,"109,057",-2,0.00,2013-01-23,68,46 ,32,9
Bartlett Lake (Bartlett Dam),60,"1,768.37","107,590",29.63,"70,596",298,0.00,2013-01-23,68,46 ,32,9
Total Verde system,37,,"107,750",,"179,653",296,,2013-01-23,68,46 ,32,9
Total Reservoir System,49,,"1,140,041",,"1,173,160",-112,,2013-01-23,68,46 ,32,9
Total system year ago,66,,,,,,,2013-01-23,68,46 ,32,9
Roosevelt Lake (Roosevelt Dam),42,"2,093.83","686,525",57.17,"966,518",966,0.00,2013-01-24,68,46 ,38,12
Apache Lake (Horse Mesa Dam),92,"1,906.35","225,269",7.65,"19,869",-229,0.00,2013-01-24,68,46 ,38,12
Canyon Lake (Mormon Flat Dam),96,"1,658.12","55,608",2.38,"2,244",66,0.00,2013-01-24,68,46 ,38,12
Saguaro Lake (Stewart Mountain Dam),94,"1,525.51","65,437",3.49,"4,328",-255,0.00,2013-01-24,68,46 ,38,12
Total Salt system,51,,"1,032,839",,"992,959",548,,2013-01-24,68,46 ,38,12
Horseshoe Lake (Horseshoe Dam),0,"1,952.19",162,73.81,"109,055",2,0.00,2013-01-24,68,46 ,38,12
Bartlett Lake (Bartlett Dam),61,"1,768.50","107,848",29.50,"70,338",258,0.00,2013-01-24,68,46 ,38,12
Total Verde system,38,,"108,010",,"179,393",260,,2013-01-24,68,46 ,38,12
Total Reservoir System,49,,"1,140,849",,"1,172,352",808,,2013-01-24,68,46 ,38,12
Total system year ago,66,,,,,,,2013-01-24,68,46 ,38,12
Roosevelt Lake (Roosevelt Dam),42,"2,093.82","686,316",57.18,"966,727",-209,0.00,2013-01-25,68,46 ,72,24
Apache Lake (Horse Mesa Dam),92,"1,906.25","225,015",7.75,"20,123",-254,0.00,2013-01-25,68,46 ,72,24
Canyon Lake (Mormon Flat Dam),96,"1,658.24","55,720",2.26,"2,132",112,0.00,2013-01-25,68,46 ,72,24
Saguaro Lake (Stewart Mountain Dam),94,"1,525.65","65,607",3.35,"4,158",170,0.00,2013-01-25,68,46 ,72,24
Total Salt system,51,,"1,032,658",,"993,140",-181,,2013-01-25,68,46 ,72,24
Horseshoe Lake (Horseshoe Dam),0,"1,952.18",161,73.82,"109,056",-1,0.00,2013-01-25,68,46 ,72,24
Bartlett Lake (Bartlett Dam),61,"1,768.67","108,185",29.33,"70,001",337,0.01,2013-01-25,68,46 ,72,24
Total Verde system,38,,"108,346",,"179,057",336,,2013-01-25,68,46 ,72,24
Total Reservoir System,49,,"1,141,004",,"1,172,197",155,,2013-01-25,68,46 ,72,24
Total system year ago,66,,,,,,,2013-01-25,68,46 ,72,24
Roosevelt Lake (Roosevelt Dam),42,"2,093.92","687,681",57.08,"965,362","1,365",0.12,2013-01-26,68,46 ,78,33
